year,month,monthlyrain,yearmonth
1927,8,188,Aug 1927
1927,9,33,Sep 1927
1927,10,341,Oct 1927
1927,11,156,Nov 1927
1927,12,435,Dec 1927
1928,1,839,Jan 1928
1928,2,613,Feb 1928
1928,3,705,Mar 1928
1928,4,340,Apr 1928
1928,5,8,May 1928
1928,6,58,Jun 1928
1928,7,0,Jul 1928
1928,8,208,Aug 1928
1928,9,119,Sep 1928
1928,10,229,Oct 1928
1928,11,818,Nov 1928
1928,12,491,Dec 1928
1929,1,636,Jan 1929
1929,2,361,Feb 1929
1929,3,1403,Mar 1929
1929,4,219,Apr 1929
1929,5,143,May 1929
1929,6,469,Jun 1929
1929,7,233,Jul 1929
1929,8,105,Aug 1929
1929,9,1007,Sep 1929
1929,10,130,Oct 1929
1929,11,596,Nov 1929
1929,12,1159,Dec 1929
1930,1,614,Jan 1930
1930,2,554,Feb 1930
1930,3,718,Mar 1930
1930,4,719,Apr 1930
1930,5,173,May 1930
1930,6,35,Jun 1930
1930,7,254,Jul 1930
1930,8,38,Aug 1930
1930,9,0,Sep 1930
1930,10,116,Oct 1930
1930,11,137,Nov 1930
1930,12,361,Dec 1930
1931,1,880,Jan 1931
1931,2,470,Feb 1931
1931,3,519,Mar 1931
1931,4,1171,Apr 1931
1931,5,0,May 1931
1931,6,23,Jun 1931
1931,7,445,Jul 1931
1931,8,36,Aug 1931
1931,9,0,Sep 1931
1931,10,427,Oct 1931
1931,11,764,Nov 1931
1931,12,134,Dec 1931
1932,1,656,Jan 1932
1932,2,950,Feb 1932
1932,3,743,Mar 1932
1932,4,0,Apr 1932
1932,5,0,May 1932
1932,6,0,Jun 1932
1932,7,8,Jul 1932
1932,8,0,Aug 1932
1932,9,574,Sep 1932
1932,10,434,Oct 1932
1932,11,370,Nov 1932
1932,12,452,Dec 1932
1933,1,111,Jan 1933
1933,2,632,Feb 1933
1933,3,494,Mar 1933
1933,4,81,Apr 1933
1933,5,15,May 1933
1933,6,28,Jun 1933
1933,7,0,Jul 1933
1933,8,0,Aug 1933
1933,9,10,Sep 1933
1933,10,56,Oct 1933
1933,11,1350,Nov 1933
1933,12,1271,Dec 1933
1934,1,1691,Jan 1934
1934,2,525,Feb 1934
1934,3,780,Mar 1934
1934,4,407,Apr 1934
1934,5,593,May 1934
1934,6,0,Jun 1934
1934,7,132,Jul 1934
1934,8,38,Aug 1934
1934,9,18,Sep 1934
1934,10,635,Oct 1934
1934,11,765,Nov 1934
1934,12,651,Dec 1934
1935,1,381,Jan 1935
1935,2,760,Feb 1935
1935,3,1631,Mar 1935
1935,4,674,Apr 1935
1935,5,407,May 1935
1935,6,371,Jun 1935
1935,7,10,Jul 1935
1935,8,171,Aug 1935
1935,9,120,Sep 1935
1935,10,519,Oct 1935
1935,11,625,Nov 1935
1935,12,1084,Dec 1935
1936,1,853,Jan 1936
1936,2,1163,Feb 1936
1936,3,1356,Mar 1936
1936,4,161,Apr 1936
1936,5,250,May 1936
1936,6,33,Jun 1936
1936,7,26,Jul 1936
1936,8,0,Aug 1936
1936,9,77,Sep 1936
1936,10,500,Oct 1936
1936,11,1455,Nov 1936
1936,12,1093,Dec 1936
1937,1,1168,Jan 1937
1937,2,1314,Feb 1937
1937,3,0,Mar 1937
1937,4,0,Apr 1937
1937,5,102,May 1937
1937,6,0,Jun 1937
1937,7,69,Jul 1937
1937,8,58,Aug 1937
1937,9,5,Sep 1937
1937,10,142,Oct 1937
1937,11,440,Nov 1937
1937,12,570,Dec 1937
1938,1,1154,Jan 1938
1938,2,600,Feb 1938
1938,3,239,Mar 1938
1938,4,524,Apr 1938
1938,5,74,May 1938
1938,6,290,Jun 1938
1938,7,132,Jul 1938
1938,8,165,Aug 1938
1938,9,8,Sep 1938
1938,10,841,Oct 1938
1938,11,810,Nov 1938
1938,12,670,Dec 1938
1939,1,661,Jan 1939
1939,2,614,Feb 1939
1939,3,290,Mar 1939
1939,4,335,Apr 1939
1939,5,317,May 1939
1939,6,36,Jun 1939
1939,7,76,Jul 1939
1939,8,491,Aug 1939
1939,9,0,Sep 1939
1939,10,1496,Oct 1939
1939,11,899,Nov 1939
1939,12,206,Dec 1939
1940,1,224,Jan 1940
1940,2,650,Feb 1940
1940,4,217,Apr 1940
1940,5,308,May 1940
1940,6,66,Jun 1940
1940,7,79,Jul 1940
1940,8,0,Aug 1940
1940,9,608,Sep 1940
1940,10,135,Oct 1940
1940,11,1689,Nov 1940
1940,12,624,Dec 1940
1941,1,550,Jan 1941
1941,2,2024,Feb 1941
1941,3,33,Mar 1941
1941,4,325,Apr 1941
1941,5,3,May 1941
1941,6,51,Jun 1941
1941,7,157,Jul 1941
1941,8,152,Aug 1941
1941,9,160,Sep 1941
1941,10,944,Oct 1941
1941,11,3,Nov 1941
1941,12,130,Dec 1941
1942,1,570,Jan 1942
1942,2,1107,Feb 1942
1942,3,906,Mar 1942
1942,4,1101,Apr 1942
1942,5,30,May 1942
1942,6,5,Jun 1942
1942,7,0,Jul 1942
1942,8,293,Aug 1942
1942,9,76,Sep 1942
1942,10,1125,Oct 1942
1942,11,1051,Nov 1942
1942,12,1330,Dec 1942
1943,1,814,Jan 1943
1943,2,835,Feb 1943
1943,3,859,Mar 1943
1943,4,2361,Apr 1943
1943,5,1014,May 1943
1943,6,0,Jun 1943
1943,7,407,Jul 1943
1943,8,989,Aug 1943
1943,9,0,Sep 1943
1943,10,859,Oct 1943
1943,11,1674,Nov 1943
1943,12,1244,Dec 1943
1944,1,601,Jan 1944
1944,2,355,Feb 1944
1944,3,380,Mar 1944
1944,4,64,Apr 1944
1944,5,190,May 1944
1944,6,416,Jun 1944
1944,7,0,Jul 1944
1944,8,0,Aug 1944
1944,9,974,Sep 1944
1944,10,491,Oct 1944
1944,11,645,Nov 1944
1944,12,211,Dec 1944
1945,1,980,Jan 1945
1945,2,811,Feb 1945
1945,3,1002,Mar 1945
1945,4,86,Apr 1945
1945,6,8,Jun 1945
1945,7,109,Jul 1945
1945,8,0,Aug 1945
1945,9,0,Sep 1945
1945,10,74,Oct 1945
1945,11,591,Nov 1945
1945,12,537,Dec 1945
1946,1,1541,Jan 1946
1946,2,1328,Feb 1946
1946,3,1610,Mar 1946
1946,4,441,Apr 1946
1946,5,759,May 1946
1946,6,30,Jun 1946
1946,7,84,Jul 1946
1946,8,0,Aug 1946
1946,9,112,Sep 1946
1946,10,597,Oct 1946
1946,11,323,Nov 1946
1946,12,183,Dec 1946
1947,1,473,Jan 1947
1947,2,201,Feb 1947
1947,3,214,Mar 1947
1947,4,1109,Apr 1947
1947,5,318,May 1947
1947,6,58,Jun 1947
1947,7,92,Jul 1947
1947,8,0,Aug 1947
1947,9,471,Sep 1947
1947,10,916,Oct 1947
1947,11,389,Nov 1947
1947,12,1926,Dec 1947
1948,1,1744,Jan 1948
1948,2,439,Feb 1948
1948,3,2479,Mar 1948
1948,4,625,Apr 1948
1948,5,315,May 1948
1948,6,0,Jun 1948
1948,7,13,Jul 1948
1948,8,10,Aug 1948
1948,9,0,Sep 1948
1948,10,223,Oct 1948
1948,11,81,Nov 1948
1948,12,71,Dec 1948
1949,1,223,Jan 1949
1949,2,1375,Feb 1949
1949,3,860,Mar 1949
1949,4,228,Apr 1949
1949,5,271,May 1949
1949,6,47,Jun 1949
1949,7,160,Jul 1949
1949,8,140,Aug 1949
1949,9,168,Sep 1949
1949,10,142,Oct 1949
1949,11,764,Nov 1949
1949,12,1283,Dec 1949
1950,1,552,Jan 1950
1950,2,351,Feb 1950
1950,3,1289,Mar 1950
1950,4,1245,Apr 1950
1950,5,429,May 1950
1950,6,75,Jun 1950
1950,7,64,Jul 1950
1950,8,859,Aug 1950
1950,9,95,Sep 1950
1950,10,473,Oct 1950
1950,11,475,Nov 1950
1950,12,1075,Dec 1950
1951,1,752,Jan 1951
1951,2,467,Feb 1951
1951,3,779,Mar 1951
1951,4,673,Apr 1951
1951,5,96,May 1951
1951,6,81,Jun 1951
1951,7,8,Jul 1951
1951,8,43,Aug 1951
1951,9,153,Sep 1951
1951,10,881,Oct 1951
1951,11,83,Nov 1951
1951,12,223,Dec 1951
1952,1,839,Jan 1952
1952,2,763,Feb 1952
1952,3,837,Mar 1952
1952,4,202,Apr 1952
1952,5,57,May 1952
1952,6,31,Jun 1952
1952,7,611,Jul 1952
1952,8,129,Aug 1952
1952,9,422,Sep 1952
1952,10,228,Oct 1952
1952,11,618,Nov 1952
1952,12,762,Dec 1952
1953,1,385,Jan 1953
1953,2,1535,Feb 1953
1953,3,369,Mar 1953
1953,4,892,Apr 1953
1953,5,104,May 1953
1953,6,7,Jun 1953
1953,7,0,Jul 1953
1953,8,45,Aug 1953
1953,9,33,Sep 1953
1953,10,440,Oct 1953
1953,11,448,Nov 1953
1953,12,828,Dec 1953
1954,1,439,Jan 1954
1954,2,1076,Feb 1954
1954,3,1090,Mar 1954
1954,4,305,Apr 1954
1954,5,25,May 1954
1954,6,0,Jun 1954
1954,7,10,Jul 1954
1954,8,0,Aug 1954
1954,9,13,Sep 1954
1954,10,8,Oct 1954
1954,11,215,Nov 1954
1954,12,369,Dec 1954
1955,1,1886,Jan 1955
1955,2,1119,Feb 1955
1955,3,118,Mar 1955
1955,4,528,Apr 1955
1955,5,59,May 1955
1955,6,79,Jun 1955
1955,7,97,Jul 1955
1955,8,2,Aug 1955
1955,9,0,Sep 1955
1955,10,1011,Oct 1955
1955,11,990,Nov 1955
1955,12,375,Dec 1955
1956,1,134,Jan 1956
1956,2,1600,Feb 1956
1956,3,1756,Mar 1956
1956,4,533,Apr 1956
1956,5,495,May 1956
1956,6,6,Jun 1956
1956,7,0,Jul 1956
1956,8,0,Aug 1956
1956,9,120,Sep 1956
1956,10,585,Oct 1956
1956,11,450,Nov 1956
1956,12,1382,Dec 1956
1957,1,895,Jan 1957
1957,2,350,Feb 1957
1957,3,526,Mar 1957
1957,4,254,Apr 1957
1957,5,34,May 1957
1957,6,285,Jun 1957
1957,7,320,Jul 1957
1957,8,500,Aug 1957
1957,9,943,Sep 1957
1957,10,650,Oct 1957
1957,11,747,Nov 1957
1957,12,639,Dec 1957
1958,1,1344,Jan 1958
1958,2,513,Feb 1958
1958,3,570,Mar 1958
1958,4,245,Apr 1958
1958,5,582,May 1958
1958,6,2,Jun 1958
1958,7,0,Jul 1958
1958,8,0,Aug 1958
1958,9,345,Sep 1958
1958,10,453,Oct 1958
1958,11,1140,Nov 1958
1958,12,882,Dec 1958
1959,1,818,Jan 1959
1959,2,1083,Feb 1959
1959,3,303,Mar 1959
1959,4,823,Apr 1959
1959,5,696,May 1959
1959,6,0,Jun 1959
1959,7,211,Jul 1959
1959,8,0,Aug 1959
1959,9,0,Sep 1959
1959,10,381,Oct 1959
1959,11,806,Nov 1959
1959,12,1636,Dec 1959
1960,1,417,Jan 1960
1960,2,447,Feb 1960
1960,3,940,Mar 1960
1960,4,679,Apr 1960
1960,5,89,May 1960
1960,6,147,Jun 1960
1960,7,178,Jul 1960
1960,8,349,Aug 1960
1960,9,49,Sep 1960
1960,10,783,Oct 1960
1960,11,698,Nov 1960
1960,12,479,Dec 1960
1961,1,614,Jan 1961
1961,2,425,Feb 1961
1961,3,946,Mar 1961
1961,4,580,Apr 1961
1961,5,556,May 1961
1961,6,482,Jun 1961
1961,7,374,Jul 1961
1961,8,72,Aug 1961
1961,9,3,Sep 1961
1961,10,0,Oct 1961
1961,11,753,Nov 1961
1961,12,429,Dec 1961
1962,1,397,Jan 1962
1962,2,635,Feb 1962
1962,3,900,Mar 1962
1962,4,992,Apr 1962
1962,5,170,May 1962
1962,6,0,Jun 1962
1962,7,0,Jul 1962
1962,8,0,Aug 1962
1962,9,28,Sep 1962
1962,10,241,Oct 1962
1962,11,905,Nov 1962
1962,12,581,Dec 1962
1963,1,2491,Jan 1963
1963,2,331,Feb 1963
1963,3,775,Mar 1963
1963,4,1202,Apr 1963
1963,5,168,May 1963
1963,6,182,Jun 1963
1963,7,109,Jul 1963
1963,8,16,Aug 1963
1963,9,16,Sep 1963
1963,10,140,Oct 1963
1963,11,1481,Nov 1963
1963,12,337,Dec 1963
1964,1,110,Jan 1964
1964,2,731,Feb 1964
1964,3,740,Mar 1964
1964,4,224,Apr 1964
1964,5,34,May 1964
1964,6,340,Jun 1964
1964,7,0,Jul 1964
1964,8,0,Aug 1964
1964,9,28,Sep 1964
1964,10,778,Oct 1964
1964,11,400,Nov 1964
1964,12,1085,Dec 1964
1965,1,1670,Jan 1965
1965,2,173,Feb 1965
1965,3,173,Mar 1965
1965,4,893,Apr 1965
1965,5,0,May 1965
1965,6,33,Jun 1965
1965,7,508,Jul 1965
1965,8,0,Aug 1965
1965,9,40,Sep 1965
1965,10,243,Oct 1965
1965,11,531,Nov 1965
1965,12,100,Dec 1965
1966,1,937,Jan 1966
1966,2,1005,Feb 1966
1966,3,174,Mar 1966
1966,4,116,Apr 1966
1966,5,23,May 1966
1966,6,125,Jun 1966
1966,7,0,Jul 1966
1966,8,4,Aug 1966
1966,9,0,Sep 1966
1966,10,156,Oct 1966
1966,11,192,Nov 1966
1966,12,669,Dec 1966
1967,1,928,Jan 1967
1967,2,1250,Feb 1967
1967,3,1272,Mar 1967
