year,month,monthlyrain,yearmonth
1994,5,0,May 1994
1994,6,3,Jun 1994
1994,7,0,Jul 1994
1994,8,0,Aug 1994
1994,9,0,Sep 1994
1994,10,0,Oct 1994
1994,11,11,Nov 1994
1994,12,200,Dec 1994
1995,1,970,Jan 1995
1995,2,302,Feb 1995
1995,3,757,Mar 1995
1995,4,626,Apr 1995
1995,5,376,May 1995
1995,6,5,Jun 1995
1995,7,0,Jul 1995
1995,8,30,Aug 1995
1995,9,105,Sep 1995
1995,10,770,Oct 1995
1995,11,683,Nov 1995
1995,12,1385,Dec 1995
1996,1,1204,Jan 1996
1996,2,1269,Feb 1996
1996,3,274,Mar 1996
1996,4,649,Apr 1996
1996,5,0,May 1996
1996,6,0,Jun 1996
1996,7,295,Jul 1996
1996,8,28,Aug 1996
1996,9,191,Sep 1996
1996,10,269,Oct 1996
1996,11,1557,Nov 1996
1996,12,1627,Dec 1996
1997,1,1116,Jan 1997
1997,2,81,Feb 1997
1997,3,1195,Mar 1997
1997,4,352,Apr 1997
1997,5,305,May 1997
1997,6,180,Jun 1997
1997,7,168,Jul 1997
1997,8,56,Aug 1997
1997,9,0,Sep 1997
1997,10,206,Oct 1997
1997,11,260,Nov 1997
1997,12,165,Dec 1997
1998,1,1681,Jan 1998
1998,2,1680,Feb 1998
1998,3,1047,Mar 1998
1998,4,142,Apr 1998
1998,5,23,May 1998
1998,6,0,Jun 1998
1998,7,47,Jul 1998
1998,8,0,Aug 1998
1998,9,122,Sep 1998
1998,10,875,Oct 1998
1998,11,663,Nov 1998
1998,12,441,Dec 1998
1999,1,282,Jan 1999
1999,2,349,Feb 1999
1999,3,66,Mar 1999
1999,4,259,Apr 1999
1999,5,636,May 1999
1999,6,3,Jun 1999
1999,7,26,Jul 1999
1999,8,3,Aug 1999
1999,9,3,Sep 1999
1999,10,691,Oct 1999
1999,11,132,Nov 1999
1999,12,757,Dec 1999
2000,1,1120,Jan 2000
2000,2,603,Feb 2000
2000,3,775,Mar 2000
2000,4,450,Apr 2000
2000,5,155,May 2000
2000,6,18,Jun 2000
2000,7,15,Jul 2000
2000,8,3,Aug 2000
2000,9,422,Sep 2000
2000,10,0,Oct 2000
2000,11,727,Nov 2000
2000,12,779,Dec 2000
2001,1,132,Jan 2001
2001,2,1279,Feb 2001
2001,3,916,Mar 2001
2001,4,1038,Apr 2001
2001,5,252,May 2001
2001,6,277,Jun 2001
2001,7,5,Jul 2001
2001,8,158,Aug 2001
2001,9,132,Sep 2001
2001,10,415,Oct 2001
2001,11,1328,Nov 2001
2001,12,530,Dec 2001
2002,1,1050,Jan 2002
2002,2,465,Feb 2002
2002,3,232,Mar 2002
2002,4,178,Apr 2002
2002,5,1758,May 2002
2002,6,59,Jun 2002
2002,7,3,Jul 2002
2002,8,973,Aug 2002
2002,9,84,Sep 2002
2002,10,87,Oct 2002
2002,11,114,Nov 2002
2002,12,643,Dec 2002
2003,1,158,Jan 2003
2003,2,877,Feb 2003
2003,3,963,Mar 2003
2003,4,46,Apr 2003
2003,5,0,May 2003
2003,6,0,Jun 2003
2003,7,0,Jul 2003
2003,8,23,Aug 2003
2003,9,160,Sep 2003
2003,10,115,Oct 2003
2003,11,284,Nov 2003
2003,12,353,Dec 2003
2004,1,392,Jan 2004
2004,2,441,Feb 2004
2004,3,1484,Mar 2004
2004,4,194,Apr 2004
2004,5,3,May 2004
2004,6,33,Jun 2004
2004,7,0,Jul 2004
2004,8,0,Aug 2004
2004,9,346,Sep 2004
2004,10,66,Oct 2004
2004,11,51,Nov 2004
2004,12,608,Dec 2004
2005,1,974,Jan 2005
2005,2,574,Feb 2005
2005,3,174,Mar 2005
2005,4,874,Apr 2005
2005,5,257,May 2005
2005,6,56,Jun 2005
2005,7,0,Jul 2005
2005,8,15,Aug 2005
2005,9,86,Sep 2005
2005,10,541,Oct 2005
2005,11,363,Nov 2005
2005,12,183,Dec 2005
2006,1,1604,Jan 2006
2006,2,1268,Feb 2006
2006,3,1181,Mar 2006
2006,4,580,Apr 2006
2006,5,128,May 2006
2006,7,0,Jul 2006
2006,8,685,Aug 2006
2006,9,3,Sep 2006
2006,10,266,Oct 2006
2006,11,1054,Nov 2006
2006,12,48,Dec 2006
2007,1,298,Jan 2007
2007,2,39,Feb 2007
2007,3,206,Mar 2007
2007,4,307,Apr 2007
2007,5,3,May 2007
2007,6,229,Jun 2007
2007,8,8,Aug 2007
2007,9,384,Sep 2007
2007,10,475,Oct 2007
2007,11,740,Nov 2007
2007,12,547,Dec 2007
2008,1,220,Jan 2008
2008,2,230,Feb 2008
2008,3,664,Mar 2008
2008,4,138,Apr 2008
2008,5,218,May 2008
2008,6,387,Jun 2008
2008,8,49,Aug 2008
2008,10,188,Oct 2008
2008,11,1181,Nov 2008
2008,12,289,Dec 2008
2009,1,765,Jan 2009
2009,2,886,Feb 2009
2009,3,206,Mar 2009
2009,4,84,Apr 2009
2009,5,185,May 2009
2009,6,417,Jun 2009
2009,7,51,Jul 2009
2009,8,33,Aug 2009
2009,10,513,Oct 2009
2009,11,1067,Nov 2009
2009,12,837,Dec 2009
2010,1,1492,Jan 2010
2010,2,1201,Feb 2010
2010,3,616,Mar 2010
2010,4,812,Apr 2010
2010,5,352,May 2010
2010,6,51,Jun 2010
2010,10,430,Oct 2010
2010,11,1447,Nov 2010
2010,12,704,Dec 2010
2011,1,1418,Jan 2011
2011,2,838,Feb 2011
2011,3,536,Mar 2011
2011,4,789,Apr 2011
2011,5,435,May 2011
2011,6,325,Jun 2011
2011,7,6,Jul 2011
2011,8,5,Aug 2011
2011,9,3,Sep 2011
2011,10,184,Oct 2011
2011,11,96,Nov 2011
2011,12,393,Dec 2011
2012,1,256,Jan 2012
2012,2,534,Feb 2012
2012,3,108,Mar 2012
2012,4,170,Apr 2012
2012,5,26,May 2012
2012,6,208,Jun 2012
2012,7,165,Jul 2012
2012,8,10,Aug 2012
2012,9,165,Sep 2012
2012,10,565,Oct 2012
2012,11,140,Nov 2012
2012,12,982,Dec 2012
2013,1,207,Jan 2013
2013,2,184,Feb 2013
2013,3,369,Mar 2013
2013,4,175,Apr 2013
2013,10,150,Oct 2013
2013,11,92,Nov 2013
2013,12,1133,Dec 2013
2014,1,94,Jan 2014
2014,2,1146,Feb 2014
2014,3,381,Mar 2014
2014,4,135,Apr 2014
2014,5,87,May 2014
2014,8,26,Aug 2014
2014,10,10,Oct 2014
2014,11,933,Nov 2014
2014,12,463,Dec 2014
2015,1,106,Jan 2015
2015,2,399,Feb 2015
2015,3,348,Mar 2015
2015,4,94,Apr 2015
2015,5,66,May 2015
2015,6,356,Jun 2015
2015,9,163,Sep 2015
2015,10,41,Oct 2015
2016,1,470,Jan 2016
2016,2,119,Feb 2016
2016,3,99,Mar 2016
2016,4,110,Apr 2016
2016,5,564,May 2016
2016,6,180,Jun 2016
2016,8,80,Aug 2016
2016,11,561,Nov 2016
2016,12,198,Dec 2016
2017,1,949,Jan 2017
2017,2,774,Feb 2017
2017,3,432,Mar 2017
2017,4,81,Apr 2017
2017,5,53,May 2017
2017,7,3,Jul 2017
2017,10,383,Oct 2017
2017,11,25,Nov 2017
2017,12,321,Dec 2017
2018,1,385,Jan 2018
2018,2,353,Feb 2018
2018,3,1753,Mar 2018
2018,4,609,Apr 2018
2018,5,67,May 2018
2018,6,30,Jun 2018
2018,8,23,Aug 2018
2018,9,30,Sep 2018
2018,10,210,Oct 2018
2018,11,77,Nov 2018
2018,12,50,Dec 2018
2019,1,343,Jan 2019
2019,2,1326,Feb 2019
2019,3,388,Mar 2019
2019,4,1041,Apr 2019
2019,5,138,May 2019
2019,10,3,Oct 2019
2019,11,71,Nov 2019
2019,12,312,Dec 2019
